tweet,sentiment
 እንደዛ ካልሆነ በስተቀር ሰውዬው ማንንም አይቦልኩም,neutral
"ለመገናኛ ብዙሀን አባላት!

በደምቢዶሎ የታገቱ ኢትዮጵያውያን ድምፅ ለመሆን ጥር 23 በአአ የሚደረገውን ሰላማዊ ሰልፍ በተመለከተ አስተባባሪ ኮሚቴው ነገ አርብ ጥር 22 ከርፕፋዱ 4:00 በመስቀል ፍላወር  ሆቴል ጋዜጣዊ መግለጫ ይሰጣል ",positive
"የምወድሽ፣
የምሳሳልሽ፣
እናቴ፣
ሀገሬ፣ 
ኢትዮጵያ!
ከላይ አረንጓዴ አለ አ?
ከመሀል ደሞ ቢጫ
ከስር ደሞ ቀይ...
በቃ ሁሌም በእነሱ ነው መድመቅ የምፈልገው...",positive
"rt  የዚህ ቤት ከፍለን የማንጨርሰው ውለታ አለብን 
the best place in addis 
ሌሎችም የኢትዮጵያ ከተሞች የዚህ አይነት 'ቤት' ይኖራቸው ዘንድ ምኞቴ ነው
ከሰኞ እስከ ቅዳሜ 24…",positive
 ልሙጦቹ ... ደግሞ ምን ይደረግላችሁ በበአሉ?,neutral
የምን ብልፅግና ነዉ  አንፈልግም: አንእቦራጨቅም: በድጋሚ ብለናል ::የህውሀት 13ኛ ጉባኤ,negative
 ይሄ ፅንፈኛ አመለካከትህ ከብልጥግና አስተምሮ ውጭ ስለሆነ ከካድሬ ስራህ ለጊዜው ታግደሀል።,negative
"""ኦሮሞ ሚባል ግሩፕ አለ"" 
የግሩፑን አባላት ቢያሳውቀን መልካም ነበር። ንቀቱን እንኳ መደበቅ አይችልም።",positive
  ህም።  በሱ፡ ዘመን ያየነውን ሆድ ይፍጀው።,negative
 ለሙን የሙስሊም ሴት ፎቶ ማድረግ አስፈለገ? ሀ ሀ ሀ ወዳጅ ለመምሰል ነው ወይስ ሙስሊሞችም አሉ ለማለት,neutral
 ይፈራሉ?  እኔም አላጠቃህም። የምርምር ማስታወሻዎቹን እንደገና አነባለሁ።,neutral
 ፍቅር አላውቅም ብለህ የሰው መኪና አታቃጥል ,negative
"እንዴት ባለምስጋና ድንግልን እናመሰግናት ዘንድ ይቻላል?
ፈጣሪዋን በማህፀኗ ከወሰነችው ከቅድስት ድንግል ማርያም በላይ ከአእምሮ ሀሳብ ከፍ ያለች ታምራዊ ንግስት ግን ዘለአለም አይገኝም
ነፍስ እና ስጋሽን ከአምላክ ጋር ያዋሀድሽ ብቸኛ እናት ናት ። ",positive
 እንኮን አብሮ አደረሰን አሜን ,positive
 እብድ መፅሀፍ ጠቅሶ ሲያብድ አንተ የመጀመሪያው ነህ,negative
  አገር ምድሩ እንኳን ከትካች እንጂ ክትክታ አይደለም!,neutral
